Mobile Phone,Total Ratings, Price ,Text1,Model Name,OS,Display,Display Type,Battery Capacity,,
"        vivo Y15C (Wave Green, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers       ",240 ratings," ₹ 9,499.00 ",Vivo,Y15C,Funtouch OS 12 (Based on Android 12),         16.55 cm    ,         LCD    ,5000,,
"        Vivo Y01 (Elegant Black, 2GB RAM, 32GB ROM) with No Cost EMI/Additional Exchange Offers       ",70 ratings," ₹ 8,499.00 ",Vivo,Y01,FunTouch OS 10,         LCD    ,5000,         32 GB    ,,
"        vivo Y15C (Mystic Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers       ",240 ratings," ₹ 9,499.00 ",Vivo,Y15C,Funtouch OS 12 (Based on Android 12),         16.55 cm    ,         LCD    ,5000,,
"        Realme C30 (Lake Blue, 2GB RAM, 32GB Storage)       ",2 ratings,,Realme,Realme C30,Android 11,         6.5 inches    ,         LCD    ,         5000 Milliamp Hours    ,,
"        Infinix HOT 12 Play (Daylight Green, 4GB RAM 64GB Storage)       ",13 ratings,,Infinix,,Android 11,         6.82 inches    ,         6000 Milliamp Hours    ,         4 GB    ,,
"        (Renewed) Mi Redmi 6 (Gold, 32 GB)       ",7 ratings," ₹ 5,499.00 ",MI,Redmi 6,Android,         5.45 inches    ,3000,         4 GB    ,,
"        realme C11 (2021) (Cool Blue, 2GB RAM, 32GB Storage) Without Offers       ","11,907 ratings",,Realme,Realme C11,Android,         6.5 inches    ,         LCD    ,5000,,
"        MOTOROLA e32s (Misty Silver, 3GB RAM 32GB Storage)       ",12 ratings,,Motorola,,Android 12,         6.5 inches    ,         5000 Milliamp Hours    ,         3 GB    ,,
"        realme C11 2021 (Cool Grey, 4GB RAM, 64GB Storage), Medium (RMX3231)       ","11,907 ratings",,Realme,C21 2021,Android 11,         6.52 inches    ,         LCD    ,5000,,
"        Infinix HOT 12 Play (Horizon Blue, 4GB RAM 64GB Storage)       ",13 ratings,,Infinix,,Android 11,         6.82 inches    ,         6000 Milliamp Hours    ,         4 GB    ,,
